""	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"NumberOfFlights"
"1"	"Apr"	"Fri"	"Evening"	"Cancelled"	116
"2"	"Apr"	"Fri"	"Evening"	"Long Delay"	955
"3"	"Apr"	"Fri"	"Evening"	"Medium Delay"	1783
"4"	"Apr"	"Fri"	"Evening"	"On Time"	6086
"5"	"Apr"	"Fri"	"Evening"	"Short Delay"	988
"6"	"Apr"	"Fri"	"Mid-Day"	"Cancelled"	114
"7"	"Apr"	"Fri"	"Mid-Day"	"Long Delay"	708
"8"	"Apr"	"Fri"	"Mid-Day"	"Medium Delay"	1666
"9"	"Apr"	"Fri"	"Mid-Day"	"On Time"	7145
"10"	"Apr"	"Fri"	"Mid-Day"	"Short Delay"	1124
"11"	"Apr"	"Fri"	"Morning"	"Cancelled"	92
"12"	"Apr"	"Fri"	"Morning"	"Long Delay"	267
"13"	"Apr"	"Fri"	"Morning"	"Medium Delay"	615
"14"	"Apr"	"Fri"	"Morning"	"On Time"	4027
"15"	"Apr"	"Fri"	"Morning"	"Short Delay"	543
"16"	"Apr"	"Fri"	"Night"	"Cancelled"	19
"17"	"Apr"	"Fri"	"Night"	"Long Delay"	112
"18"	"Apr"	"Fri"	"Night"	"Medium Delay"	179
"19"	"Apr"	"Fri"	"Night"	"On Time"	594
"20"	"Apr"	"Fri"	"Night"	"Short Delay"	76
"21"	"Apr"	"Mon"	"Evening"	"Cancelled"	133
"22"	"Apr"	"Mon"	"Evening"	"Long Delay"	991
"23"	"Apr"	"Mon"	"Evening"	"Medium Delay"	1711
"24"	"Apr"	"Mon"	"Evening"	"On Time"	6411
"25"	"Apr"	"Mon"	"Evening"	"Short Delay"	953
"26"	"Apr"	"Mon"	"Mid-Day"	"Cancelled"	165
"27"	"Apr"	"Mon"	"Mid-Day"	"Long Delay"	874
"28"	"Apr"	"Mon"	"Mid-Day"	"Medium Delay"	1714
"29"	"Apr"	"Mon"	"Mid-Day"	"On Time"	7209
"30"	"Apr"	"Mon"	"Mid-Day"	"Short Delay"	1061
"31"	"Apr"	"Mon"	"Morning"	"Cancelled"	76
"32"	"Apr"	"Mon"	"Morning"	"Long Delay"	286
"33"	"Apr"	"Mon"	"Morning"	"Medium Delay"	717
"34"	"Apr"	"Mon"	"Morning"	"On Time"	4048
"35"	"Apr"	"Mon"	"Morning"	"Short Delay"	576
"36"	"Apr"	"Mon"	"Night"	"Cancelled"	5
"37"	"Apr"	"Mon"	"Night"	"Long Delay"	93
"38"	"Apr"	"Mon"	"Night"	"Medium Delay"	185
"39"	"Apr"	"Mon"	"Night"	"On Time"	625
"40"	"Apr"	"Mon"	"Night"	"Short Delay"	108
"41"	"Apr"	"Sat"	"Evening"	"Cancelled"	62
"42"	"Apr"	"Sat"	"Evening"	"Long Delay"	597
"43"	"Apr"	"Sat"	"Evening"	"Medium Delay"	1068
"44"	"Apr"	"Sat"	"Evening"	"On Time"	5740
"45"	"Apr"	"Sat"	"Evening"	"Short Delay"	642
"46"	"Apr"	"Sat"	"Mid-Day"	"Cancelled"	89
"47"	"Apr"	"Sat"	"Mid-Day"	"Long Delay"	631
"48"	"Apr"	"Sat"	"Mid-Day"	"Medium Delay"	1281
"49"	"Apr"	"Sat"	"Mid-Day"	"On Time"	6400
"50"	"Apr"	"Sat"	"Mid-Day"	"Short Delay"	912
"51"	"Apr"	"Sat"	"Morning"	"Cancelled"	78
"52"	"Apr"	"Sat"	"Morning"	"Long Delay"	227
"53"	"Apr"	"Sat"	"Morning"	"Medium Delay"	577
"54"	"Apr"	"Sat"	"Morning"	"On Time"	3480
"55"	"Apr"	"Sat"	"Morning"	"Short Delay"	433
"56"	"Apr"	"Sat"	"Night"	"Cancelled"	8
"57"	"Apr"	"Sat"	"Night"	"Long Delay"	49
"58"	"Apr"	"Sat"	"Night"	"Medium Delay"	106
"59"	"Apr"	"Sat"	"Night"	"On Time"	436
"60"	"Apr"	"Sat"	"Night"	"Short Delay"	58
"61"	"Apr"	"Sun"	"Evening"	"Cancelled"	156
"62"	"Apr"	"Sun"	"Evening"	"Long Delay"	1267
"63"	"Apr"	"Sun"	"Evening"	"Medium Delay"	1788
"64"	"Apr"	"Sun"	"Evening"	"On Time"	5903
"65"	"Apr"	"Sun"	"Evening"	"Short Delay"	918
"66"	"Apr"	"Sun"	"Mid-Day"	"Cancelled"	74
"67"	"Apr"	"Sun"	"Mid-Day"	"Long Delay"	704
"68"	"Apr"	"Sun"	"Mid-Day"	"Medium Delay"	1679
"69"	"Apr"	"Sun"	"Mid-Day"	"On Time"	7078
"70"	"Apr"	"Sun"	"Mid-Day"	"Short Delay"	1000
"71"	"Apr"	"Sun"	"Morning"	"Cancelled"	46
"72"	"Apr"	"Sun"	"Morning"	"Long Delay"	176
"73"	"Apr"	"Sun"	"Morning"	"Medium Delay"	510
"74"	"Apr"	"Sun"	"Morning"	"On Time"	3498
"75"	"Apr"	"Sun"	"Morning"	"Short Delay"	376
"76"	"Apr"	"Sun"	"Night"	"Cancelled"	19
"77"	"Apr"	"Sun"	"Night"	"Long Delay"	160
"78"	"Apr"	"Sun"	"Night"	"Medium Delay"	194
"79"	"Apr"	"Sun"	"Night"	"On Time"	577
"80"	"Apr"	"Sun"	"Night"	"Short Delay"	90
"81"	"Apr"	"Thurs"	"Evening"	"Cancelled"	141
"82"	"Apr"	"Thurs"	"Evening"	"Long Delay"	1183
"83"	"Apr"	"Thurs"	"Evening"	"Medium Delay"	1679
"84"	"Apr"	"Thurs"	"Evening"	"On Time"	5606
"85"	"Apr"	"Thurs"	"Evening"	"Short Delay"	1041
"86"	"Apr"	"Thurs"	"Mid-Day"	"Cancelled"	116
"87"	"Apr"	"Thurs"	"Mid-Day"	"Long Delay"	599
"88"	"Apr"	"Thurs"	"Mid-Day"	"Medium Delay"	1709
"89"	"Apr"	"Thurs"	"Mid-Day"	"On Time"	6894
"90"	"Apr"	"Thurs"	"Mid-Day"	"Short Delay"	1122
"91"	"Apr"	"Thurs"	"Morning"	"Cancelled"	55
"92"	"Apr"	"Thurs"	"Morning"	"Long Delay"	225
"93"	"Apr"	"Thurs"	"Morning"	"Medium Delay"	617
"94"	"Apr"	"Thurs"	"Morning"	"On Time"	3961
"95"	"Apr"	"Thurs"	"Morning"	"Short Delay"	523
"96"	"Apr"	"Thurs"	"Night"	"Cancelled"	18
"97"	"Apr"	"Thurs"	"Night"	"Long Delay"	132
"98"	"Apr"	"Thurs"	"Night"	"Medium Delay"	167
"99"	"Apr"	"Thurs"	"Night"	"On Time"	554
"100"	"Apr"	"Thurs"	"Night"	"Short Delay"	80
"101"	"Apr"	"Tues"	"Evening"	"Cancelled"	80
"102"	"Apr"	"Tues"	"Evening"	"Long Delay"	865
"103"	"Apr"	"Tues"	"Evening"	"Medium Delay"	1723
"104"	"Apr"	"Tues"	"Evening"	"On Time"	6587
"105"	"Apr"	"Tues"	"Evening"	"Short Delay"	908
"106"	"Apr"	"Tues"	"Mid-Day"	"Cancelled"	120
"107"	"Apr"	"Tues"	"Mid-Day"	"Long Delay"	657
"108"	"Apr"	"Tues"	"Mid-Day"	"Medium Delay"	1664
"109"	"Apr"	"Tues"	"Mid-Day"	"On Time"	7530
"110"	"Apr"	"Tues"	"Mid-Day"	"Short Delay"	999
"111"	"Apr"	"Tues"	"Morning"	"Cancelled"	70
"112"	"Apr"	"Tues"	"Morning"	"Long Delay"	292
"113"	"Apr"	"Tues"	"Morning"	"Medium Delay"	620
"114"	"Apr"	"Tues"	"Morning"	"On Time"	4188
"115"	"Apr"	"Tues"	"Morning"	"Short Delay"	468
"116"	"Apr"	"Tues"	"Night"	"Cancelled"	9
"117"	"Apr"	"Tues"	"Night"	"Long Delay"	87
"118"	"Apr"	"Tues"	"Night"	"Medium Delay"	168
"119"	"Apr"	"Tues"	"Night"	"On Time"	637
"120"	"Apr"	"Tues"	"Night"	"Short Delay"	86
"121"	"Apr"	"Wed"	"Evening"	"Cancelled"	117
"122"	"Apr"	"Wed"	"Evening"	"Long Delay"	862
"123"	"Apr"	"Wed"	"Evening"	"Medium Delay"	1688
"124"	"Apr"	"Wed"	"Evening"	"On Time"	6220
"125"	"Apr"	"Wed"	"Evening"	"Short Delay"	1001
"126"	"Apr"	"Wed"	"Mid-Day"	"Cancelled"	151
"127"	"Apr"	"Wed"	"Mid-Day"	"Long Delay"	633
"128"	"Apr"	"Wed"	"Mid-Day"	"Medium Delay"	1566
"129"	"Apr"	"Wed"	"Mid-Day"	"On Time"	7258
"130"	"Apr"	"Wed"	"Mid-Day"	"Short Delay"	1077
"131"	"Apr"	"Wed"	"Morning"	"Cancelled"	81
"132"	"Apr"	"Wed"	"Morning"	"Long Delay"	236
"133"	"Apr"	"Wed"	"Morning"	"Medium Delay"	592
"134"	"Apr"	"Wed"	"Morning"	"On Time"	4097
"135"	"Apr"	"Wed"	"Morning"	"Short Delay"	498
"136"	"Apr"	"Wed"	"Night"	"Cancelled"	13
"137"	"Apr"	"Wed"	"Night"	"Long Delay"	78
"138"	"Apr"	"Wed"	"Night"	"Medium Delay"	139
"139"	"Apr"	"Wed"	"Night"	"On Time"	679
"140"	"Apr"	"Wed"	"Night"	"Short Delay"	65
"141"	"Aug"	"Fri"	"Evening"	"Cancelled"	181
"142"	"Aug"	"Fri"	"Evening"	"Long Delay"	1383
"143"	"Aug"	"Fri"	"Evening"	"Medium Delay"	2019
"144"	"Aug"	"Fri"	"Evening"	"On Time"	6545
"145"	"Aug"	"Fri"	"Evening"	"Short Delay"	1091
"146"	"Aug"	"Fri"	"Mid-Day"	"Cancelled"	192
"147"	"Aug"	"Fri"	"Mid-Day"	"Long Delay"	1082
"148"	"Aug"	"Fri"	"Mid-Day"	"Medium Delay"	2190
"149"	"Aug"	"Fri"	"Mid-Day"	"On Time"	7395
"150"	"Aug"	"Fri"	"Mid-Day"	"Short Delay"	1348
"151"	"Aug"	"Fri"	"Morning"	"Cancelled"	106
"152"	"Aug"	"Fri"	"Morning"	"Long Delay"	371
"153"	"Aug"	"Fri"	"Morning"	"Medium Delay"	746
"154"	"Aug"	"Fri"	"Morning"	"On Time"	4478
"155"	"Aug"	"Fri"	"Morning"	"Short Delay"	586
"156"	"Aug"	"Fri"	"Night"	"Cancelled"	34
"157"	"Aug"	"Fri"	"Night"	"Long Delay"	178
"158"	"Aug"	"Fri"	"Night"	"Medium Delay"	191
"159"	"Aug"	"Fri"	"Night"	"On Time"	705
"160"	"Aug"	"Fri"	"Night"	"Short Delay"	96
"161"	"Aug"	"Mon"	"Evening"	"Cancelled"	179
"162"	"Aug"	"Mon"	"Evening"	"Long Delay"	1601
"163"	"Aug"	"Mon"	"Evening"	"Medium Delay"	2142
"164"	"Aug"	"Mon"	"Evening"	"On Time"	5317
"165"	"Aug"	"Mon"	"Evening"	"Short Delay"	1014
"166"	"Aug"	"Mon"	"Mid-Day"	"Cancelled"	210
"167"	"Aug"	"Mon"	"Mid-Day"	"Long Delay"	1373
"168"	"Aug"	"Mon"	"Mid-Day"	"Medium Delay"	2096
"169"	"Aug"	"Mon"	"Mid-Day"	"On Time"	6316
"170"	"Aug"	"Mon"	"Mid-Day"	"Short Delay"	1246
"171"	"Aug"	"Mon"	"Morning"	"Cancelled"	92
"172"	"Aug"	"Mon"	"Morning"	"Long Delay"	484
"173"	"Aug"	"Mon"	"Morning"	"Medium Delay"	826
"174"	"Aug"	"Mon"	"Morning"	"On Time"	3767
"175"	"Aug"	"Mon"	"Morning"	"Short Delay"	619
"176"	"Aug"	"Mon"	"Night"	"Cancelled"	17
"177"	"Aug"	"Mon"	"Night"	"Long Delay"	192
"178"	"Aug"	"Mon"	"Night"	"Medium Delay"	198
"179"	"Aug"	"Mon"	"Night"	"On Time"	593
"180"	"Aug"	"Mon"	"Night"	"Short Delay"	98
"181"	"Aug"	"Sat"	"Evening"	"Cancelled"	89
"182"	"Aug"	"Sat"	"Evening"	"Long Delay"	1076
"183"	"Aug"	"Sat"	"Evening"	"Medium Delay"	1514
"184"	"Aug"	"Sat"	"Evening"	"On Time"	5540
"185"	"Aug"	"Sat"	"Evening"	"Short Delay"	817
"186"	"Aug"	"Sat"	"Mid-Day"	"Cancelled"	152
"187"	"Aug"	"Sat"	"Mid-Day"	"Long Delay"	997
"188"	"Aug"	"Sat"	"Mid-Day"	"Medium Delay"	2007
"189"	"Aug"	"Sat"	"Mid-Day"	"On Time"	6421
"190"	"Aug"	"Sat"	"Mid-Day"	"Short Delay"	1151
"191"	"Aug"	"Sat"	"Morning"	"Cancelled"	91
"192"	"Aug"	"Sat"	"Morning"	"Long Delay"	328
"193"	"Aug"	"Sat"	"Morning"	"Medium Delay"	733
"194"	"Aug"	"Sat"	"Morning"	"On Time"	3702
"195"	"Aug"	"Sat"	"Morning"	"Short Delay"	521
"196"	"Aug"	"Sat"	"Night"	"Cancelled"	11
"197"	"Aug"	"Sat"	"Night"	"Long Delay"	120
"198"	"Aug"	"Sat"	"Night"	"Medium Delay"	126
"199"	"Aug"	"Sat"	"Night"	"On Time"	529
"200"	"Aug"	"Sat"	"Night"	"Short Delay"	65
"201"	"Aug"	"Sun"	"Evening"	"Cancelled"	150
"202"	"Aug"	"Sun"	"Evening"	"Long Delay"	1346
"203"	"Aug"	"Sun"	"Evening"	"Medium Delay"	1930
"204"	"Aug"	"Sun"	"Evening"	"On Time"	5935
"205"	"Aug"	"Sun"	"Evening"	"Short Delay"	1041
"206"	"Aug"	"Sun"	"Mid-Day"	"Cancelled"	135
"207"	"Aug"	"Sun"	"Mid-Day"	"Long Delay"	931
"208"	"Aug"	"Sun"	"Mid-Day"	"Medium Delay"	1796
"209"	"Aug"	"Sun"	"Mid-Day"	"On Time"	7066
"210"	"Aug"	"Sun"	"Mid-Day"	"Short Delay"	1249
"211"	"Aug"	"Sun"	"Morning"	"Cancelled"	72
"212"	"Aug"	"Sun"	"Morning"	"Long Delay"	251
"213"	"Aug"	"Sun"	"Morning"	"Medium Delay"	586
"214"	"Aug"	"Sun"	"Morning"	"On Time"	3702
"215"	"Aug"	"Sun"	"Morning"	"Short Delay"	453
"216"	"Aug"	"Sun"	"Night"	"Cancelled"	13
"217"	"Aug"	"Sun"	"Night"	"Long Delay"	171
"218"	"Aug"	"Sun"	"Night"	"Medium Delay"	223
"219"	"Aug"	"Sun"	"Night"	"On Time"	593
"220"	"Aug"	"Sun"	"Night"	"Short Delay"	100
"221"	"Aug"	"Thurs"	"Evening"	"Cancelled"	195
"222"	"Aug"	"Thurs"	"Evening"	"Long Delay"	1595
"223"	"Aug"	"Thurs"	"Evening"	"Medium Delay"	2266
"224"	"Aug"	"Thurs"	"Evening"	"On Time"	5629
"225"	"Aug"	"Thurs"	"Evening"	"Short Delay"	1227
"226"	"Aug"	"Thurs"	"Mid-Day"	"Cancelled"	231
"227"	"Aug"	"Thurs"	"Mid-Day"	"Long Delay"	1120
"228"	"Aug"	"Thurs"	"Mid-Day"	"Medium Delay"	2242
"229"	"Aug"	"Thurs"	"Mid-Day"	"On Time"	6932
"230"	"Aug"	"Thurs"	"Mid-Day"	"Short Delay"	1332
"231"	"Aug"	"Thurs"	"Morning"	"Cancelled"	98
"232"	"Aug"	"Thurs"	"Morning"	"Long Delay"	363
"233"	"Aug"	"Thurs"	"Morning"	"Medium Delay"	766
"234"	"Aug"	"Thurs"	"Morning"	"On Time"	4259
"235"	"Aug"	"Thurs"	"Morning"	"Short Delay"	617
"236"	"Aug"	"Thurs"	"Night"	"Cancelled"	24
"237"	"Aug"	"Thurs"	"Night"	"Long Delay"	200
"238"	"Aug"	"Thurs"	"Night"	"Medium Delay"	250
"239"	"Aug"	"Thurs"	"Night"	"On Time"	596
"240"	"Aug"	"Thurs"	"Night"	"Short Delay"	119
"241"	"Aug"	"Tues"	"Evening"	"Cancelled"	184
"242"	"Aug"	"Tues"	"Evening"	"Long Delay"	1660
"243"	"Aug"	"Tues"	"Evening"	"Medium Delay"	2026
"244"	"Aug"	"Tues"	"Evening"	"On Time"	5580
"245"	"Aug"	"Tues"	"Evening"	"Short Delay"	1041
"246"	"Aug"	"Tues"	"Mid-Day"	"Cancelled"	219
"247"	"Aug"	"Tues"	"Mid-Day"	"Long Delay"	1036
"248"	"Aug"	"Tues"	"Mid-Day"	"Medium Delay"	1868
"249"	"Aug"	"Tues"	"Mid-Day"	"On Time"	7045
"250"	"Aug"	"Tues"	"Mid-Day"	"Short Delay"	1267
"251"	"Aug"	"Tues"	"Morning"	"Cancelled"	68
"252"	"Aug"	"Tues"	"Morning"	"Long Delay"	352
"253"	"Aug"	"Tues"	"Morning"	"Medium Delay"	761
"254"	"Aug"	"Tues"	"Morning"	"On Time"	4125
"255"	"Aug"	"Tues"	"Morning"	"Short Delay"	550
"256"	"Aug"	"Tues"	"Night"	"Cancelled"	17
"257"	"Aug"	"Tues"	"Night"	"Long Delay"	176
"258"	"Aug"	"Tues"	"Night"	"Medium Delay"	205
"259"	"Aug"	"Tues"	"Night"	"On Time"	628
"260"	"Aug"	"Tues"	"Night"	"Short Delay"	102
"261"	"Aug"	"Wed"	"Evening"	"Cancelled"	139
"262"	"Aug"	"Wed"	"Evening"	"Long Delay"	1503
"263"	"Aug"	"Wed"	"Evening"	"Medium Delay"	2549
"264"	"Aug"	"Wed"	"Evening"	"On Time"	5531
"265"	"Aug"	"Wed"	"Evening"	"Short Delay"	1134
"266"	"Aug"	"Wed"	"Mid-Day"	"Cancelled"	134
"267"	"Aug"	"Wed"	"Mid-Day"	"Long Delay"	1134
"268"	"Aug"	"Wed"	"Mid-Day"	"Medium Delay"	2416
"269"	"Aug"	"Wed"	"Mid-Day"	"On Time"	6739
"270"	"Aug"	"Wed"	"Mid-Day"	"Short Delay"	1352
"271"	"Aug"	"Wed"	"Morning"	"Cancelled"	89
"272"	"Aug"	"Wed"	"Morning"	"Long Delay"	462
"273"	"Aug"	"Wed"	"Morning"	"Medium Delay"	879
"274"	"Aug"	"Wed"	"Morning"	"On Time"	4051
"275"	"Aug"	"Wed"	"Morning"	"Short Delay"	581
"276"	"Aug"	"Wed"	"Night"	"Cancelled"	17
"277"	"Aug"	"Wed"	"Night"	"Long Delay"	187
"278"	"Aug"	"Wed"	"Night"	"Medium Delay"	236
"279"	"Aug"	"Wed"	"Night"	"On Time"	636
"280"	"Aug"	"Wed"	"Night"	"Short Delay"	110
"281"	"Dec"	"Fri"	"Evening"	"Cancelled"	199
"282"	"Dec"	"Fri"	"Evening"	"Long Delay"	1693
"283"	"Dec"	"Fri"	"Evening"	"Medium Delay"	2632
"284"	"Dec"	"Fri"	"Evening"	"On Time"	4128
"285"	"Dec"	"Fri"	"Evening"	"Short Delay"	1069
"286"	"Dec"	"Fri"	"Mid-Day"	"Cancelled"	219
"287"	"Dec"	"Fri"	"Mid-Day"	"Long Delay"	1476
"288"	"Dec"	"Fri"	"Mid-Day"	"Medium Delay"	2691
"289"	"Dec"	"Fri"	"Mid-Day"	"On Time"	4969
"290"	"Dec"	"Fri"	"Mid-Day"	"Short Delay"	1298
"291"	"Dec"	"Fri"	"Morning"	"Cancelled"	114
"292"	"Dec"	"Fri"	"Morning"	"Long Delay"	478
"293"	"Dec"	"Fri"	"Morning"	"Medium Delay"	1204
"294"	"Dec"	"Fri"	"Morning"	"On Time"	2801
"295"	"Dec"	"Fri"	"Morning"	"Short Delay"	644
"296"	"Dec"	"Fri"	"Night"	"Cancelled"	31
"297"	"Dec"	"Fri"	"Night"	"Long Delay"	149
"298"	"Dec"	"Fri"	"Night"	"Medium Delay"	208
"299"	"Dec"	"Fri"	"Night"	"On Time"	384
"300"	"Dec"	"Fri"	"Night"	"Short Delay"	69
"301"	"Dec"	"Mon"	"Evening"	"Cancelled"	206
"302"	"Dec"	"Mon"	"Evening"	"Long Delay"	1597
"303"	"Dec"	"Mon"	"Evening"	"Medium Delay"	2529
"304"	"Dec"	"Mon"	"Evening"	"On Time"	4845
"305"	"Dec"	"Mon"	"Evening"	"Short Delay"	1038
"306"	"Dec"	"Mon"	"Mid-Day"	"Cancelled"	193
"307"	"Dec"	"Mon"	"Mid-Day"	"Long Delay"	1395
"308"	"Dec"	"Mon"	"Mid-Day"	"Medium Delay"	2689
"309"	"Dec"	"Mon"	"Mid-Day"	"On Time"	5730
"310"	"Dec"	"Mon"	"Mid-Day"	"Short Delay"	1308
"311"	"Dec"	"Mon"	"Morning"	"Cancelled"	92
"312"	"Dec"	"Mon"	"Morning"	"Long Delay"	549
"313"	"Dec"	"Mon"	"Morning"	"Medium Delay"	1125
"314"	"Dec"	"Mon"	"Morning"	"On Time"	3061
"315"	"Dec"	"Mon"	"Morning"	"Short Delay"	681
"316"	"Dec"	"Mon"	"Night"	"Cancelled"	17
"317"	"Dec"	"Mon"	"Night"	"Long Delay"	121
"318"	"Dec"	"Mon"	"Night"	"Medium Delay"	193
"319"	"Dec"	"Mon"	"Night"	"On Time"	434
"320"	"Dec"	"Mon"	"Night"	"Short Delay"	92
"321"	"Dec"	"Sat"	"Evening"	"Cancelled"	157
"322"	"Dec"	"Sat"	"Evening"	"Long Delay"	1156
"323"	"Dec"	"Sat"	"Evening"	"Medium Delay"	1696
"324"	"Dec"	"Sat"	"Evening"	"On Time"	4106
"325"	"Dec"	"Sat"	"Evening"	"Short Delay"	770
"326"	"Dec"	"Sat"	"Mid-Day"	"Cancelled"	205
"327"	"Dec"	"Sat"	"Mid-Day"	"Long Delay"	1210
"328"	"Dec"	"Sat"	"Mid-Day"	"Medium Delay"	2353
"329"	"Dec"	"Sat"	"Mid-Day"	"On Time"	5038
"330"	"Dec"	"Sat"	"Mid-Day"	"Short Delay"	1111
"331"	"Dec"	"Sat"	"Morning"	"Cancelled"	95
"332"	"Dec"	"Sat"	"Morning"	"Long Delay"	363
"333"	"Dec"	"Sat"	"Morning"	"Medium Delay"	1023
"334"	"Dec"	"Sat"	"Morning"	"On Time"	2660
"335"	"Dec"	"Sat"	"Morning"	"Short Delay"	588
"336"	"Dec"	"Sat"	"Night"	"Cancelled"	2
"337"	"Dec"	"Sat"	"Night"	"Long Delay"	66
"338"	"Dec"	"Sat"	"Night"	"Medium Delay"	106
"339"	"Dec"	"Sat"	"Night"	"On Time"	300
"340"	"Dec"	"Sat"	"Night"	"Short Delay"	42
